OBJECTID,ON10mDEM,UAVDSM,x,y
86,340.941802978515625,342.625579833984375,1288795.902099996805191,11884614.230900000780821
87,341.784606933593750,339.113342285156250,1288922.902400001883507,11884799.175000000745058
88,346.757263183593750,349.496185302734375,1288603.020499996840954,11884866.643899999558926
89,347.243316650390625,349.360229492187500,1288606.989200003445148,11884838.862599998712540
90,342.689544677734375,341.448974609375000,1288587.939199998974800,11884722.974800001829863
91,342.823028564453125,341.663146972656250,1288631.595499999821186,11884646.774700000882149
92,342.749481201171875,342.568634033203125,1288672.870600000023842,11884571.368299998342991
93,344.401031494140625,343.442413330078125,1288496.657799996435642,11884722.181099999696016
94,345.142517089843750,343.901885986328125,1288521.264100000262260,11884738.056099999696016
95,344.927429199218750,344.354980468750000,1288553.014100000262260,11884761.868700001388788
96,347.585540771484375,347.667755126953125,1288538.726599998772144,11884794.412500001490116
97,345.403778076171875,344.713562011718750,1288503.007799997925758,11884739.908199999481440
98,346.928771972656250,346.091766357421875,1288492.159800000488758,11884759.487399999052286
99,350.187194824218750,350.078765869140625,1288464.378499999642372,11884802.879200000315905
100,349.530151367187500,349.712280273437500,1288487.397299997508526,11884803.143699999898672
101,349.746429443359375,350.145660400390625,1288510.680699996650219,11884825.104200001806021
102,350.220703125000000,350.448730468750000,1288496.922300003468990,11884843.360500000417233
103,349.333007812500000,349.816711425781250,1288481.311899997293949,11884875.375100001692772
104,349.982238769531250,349.870788574218750,1288465.436899997293949,11884859.764699999243021
105,350.625701904296875,350.290039062500000,1288449.032700002193451,11884853.943799998611212
106,350.098022460937500,350.614440917968750,1288411.726300001144409,11884845.741700001060963
107,345.193450927734375,347.246124267578125,1288662.287299998104572,11884838.333399999886751
108,345.298156738281250,347.559631347656250,1288654.614299997687340,11884814.785399999469519
109,343.515289306640625,341.291656494140625,1288618.366300001740456,11884739.379000000655651
110,341.668853759765625,340.435546875000000,1288629.478900000452995,11884725.885200001299381
111,343.301300048828125,343.476409912109375,1288613.868400000035763,11884765.308200001716614
112,341.865661621093750,340.834564208984375,1288640.855999998748302,11884747.845699999481440
113,340.880401611328125,342.109008789062500,1288653.556000001728535,11884764.779100000858307
114,341.983276367187500,340.683471679687500,1288646.412199996411800,11884694.928899999707937
115,350.913940429687500,348.861083984375000,1288098.207000002264977,11885072.090999998152256
116,349.544311523437500,348.041595458984375,1288139.482100002467632,11885064.682599999010563
117,349.329345703125000,349.252136230468750,1288124.136200003325939,11885096.961899999529123
118,350.201080322265625,348.302947998046875,1288116.727899998426437,11885063.624299999326468
119,349.704254150390625,349.604187011718750,1288186.048900000751019,11884948.794900000095367
120,350.143005371093750,349.418304443359375,1288178.111400000751019,11884953.028200000524521
121,350.540527343750000,350.376342773437500,1288167.326899997889996,11884929.691899999976158
122,349.759307861328125,349.974151611328125,1288185.900700002908707,11884939.375700000673532
123,349.722534179687500,349.241424560546875,1288191.933200001716614,11884928.898200001567602
124,350.776489257812500,349.071777343750000,1288091.576600000262260,11885140.591699998825788
125,350.024505615234375,349.119750976562500,1288072.394199997186661,11885118.102099999785423
126,353.210601806640625,350.549621582031250,1288058.503600001335144,11885038.065499998629093
127,351.838439941406250,349.737609863281250,1288077.685900002717972,11885056.586399998515844
128,350.840179443359375,349.602172851562500,1288076.362999998033047,11885088.336399998515844
129,350.133819580078125,349.479705810546875,1288063.795199997723103,11885110.164599999785423
130,350.190979003906250,348.975708007812500,1288061.149400003254414,11885141.914700001478195
131,346.310791015625000,344.919311523437500,1288339.006599999964237,11885056.630499999970198
132,346.842376708984375,345.451995849609375,1288311.278200000524521,11885067.002099998295307
133,347.213745117187500,345.619934082031250,1288288.206500001251698,11885084.993900001049042
134,347.484741210937500,346.030731201171875,1288272.119800001382828,11885082.453800000250340
135,347.964660644531250,346.682891845703125,1288235.078000001609325,11885089.862199999392033
136,349.724426269531250,349.111938476562500,1288319.321500003337860,11885278.457600001245737
137,345.593078613281250,344.769317626953125,1288418.143600001931190,11885277.266899999231100
138,344.767578125000000,345.518035888671875,1288428.065499998629093,11885255.041900001466274
139,348.307556152343750,345.707061767578125,1288301.462099999189377,11885315.763900000602007
140,346.497497558593750,344.601379394531250,1288331.227799996733665,11885332.432700000703335
141,348.467498779296875,347.038513183593750,1288478.071800000965595,11885411.410999998450279
142,346.968444824218750,346.873535156250000,1288496.328100003302097,11885367.357700001448393
143,346.346313476562500,345.108032226562500,1288445.527999997138977,11885365.770199999213219
144,346.919708251953125,345.988800048828125,1288415.762299999594688,11885396.329700000584126
145,346.395202636718750,344.765777587890625,1288340.752800002694130,11885416.570300001651049
146,345.569885253906250,344.334442138671875,1288354.246600002050400,11885379.263999998569489
147,345.078308105468750,344.352325439453125,1288376.074799999594688,11885350.292100001126528
148,344.698669433593750,344.557281494140625,1288405.046700000762939,11885333.623300001025200
149,344.942169189453125,344.170745849609375,1288429.256099998950958,11885336.798300001770258
150,344.959808349609375,344.014892578125000,1288448.306199997663498,11885326.876400001347065
151,344.732025146484375,344.456512451171875,1288464.578100003302097,11885318.145100001245737
152,344.588317871093750,344.127593994140625,1288480.056199997663498,11885311.001400001347065
153,344.503631591796875,344.084014892578125,1288437.987400002777576,11885318.145100001245737
154,346.105346679687500,345.193481445312500,1288347.499700002372265,11885309.413899999111891
155,347.022827148437500,344.724975585937500,1288294.715199999511242,11885374.898400001227856
156,346.904449462890625,344.580566406250000,1288304.240199998021126,11885353.467099998146296
157,347.127258300781250,344.995758056640625,1288316.741800002753735,11885457.170699998736382
158,347.128784179687500,345.076324462890625,1288314.360600002110004,11885475.427000001072884
